borderline			1.548438245	1.4661764369999999		1.429891562	
anorexic						1.237816576	1.043399455
si			2.415563662	11.165497484000001	5.954598265	7.853732762999999	7.929835858
self harm			2.0439384830000003	9.81210385	5.068332477	8.579349377	5.962282599999999
being thin						1.557941553	1.222267933
bi-polar							1.550193476
eating disorder				1.240610831	1.149375944	1.899408195	1.3713249980000002
manic depression				1.691742043	1.066288526	1.024399925	
self mutilation			3.3446266089999996	5.526357341000001	7.6578903270000005	6.807991173	8.377007053
medication				2.030090451	1.03859272	1.579283218	1.550193476
disorders				1.9173076480000002	1.370942391	1.6219665490000001	1.9675532580000001
bpd				1.9173076480000002	1.066288526	2.689049805	
dark poetry					1.1216801379999999		1.19245652
hurting				1.3533936340000001	1.454029808	1.536599888	1.818496193
perfect					1.024744817	1.237816576	1.1626451070000001
depressed				1.3533936340000001	1.4817256140000001	1.323183237	2.2060445619999998
cut				1.127828028	1.204767556	2.262216502	2.08679891
ed-nos						1.685991544	1.6992505409999998
anorexia nervosa				1.127828028	1.301702876	1.814041535	1.729061954
mania				1.015045225		1.00305826	
hopelessness				1.015045225	1.066288526		2.176233149
starvation				1.691742043	1.8971627030000002	2.070141516	1.907930432
self injury			3.592376728	16.015158008	10.39977511	12.954390727	12.550604873
borderline personality disorder			1.300688125	4.511312115	2.395687209	5.186024624	2.8917070610000004
purging					1.246311264	2.347583163	1.3713249980000002
self destruction				1.015045225	1.27400707	1.195133246	1.19245652
bipolar disorder				2.594004466	1.537117226	2.518316484	1.401136411
panic attacks					1.190919653	1.4512332280000002	1.550193476
suffering					1.398638197		
falling				1.015045225	1.052440623		
elizabeth wurtzel				1.015045225			
ednos			1.176813066	1.4661764369999999	1.052440623	2.83844146	1.729061954
prozac					1.024744817	1.195133246	1.1328336940000001
collar bones			1.114875536	1.240610831	1.17707175	1.579283218	1.430947824
pro-ana					1.135528041	1.4725748930000002	1.0732108679999999
self-mutilation			1.920063424	4.172963706	4.5282642619999995	3.969549712	4.561146189
razor blades			1.486500715	3.834615297	5.276051021000001	4.268333023	5.753602709
bulimia			1.610375774	3.4962668889999997	4.639047485	7.106774484	6.349830969
sad				1.3533936340000001		1.0884249209999999	1.1626451070000001
starving				1.240610831	2.257208179	3.3506414230000003	2.504158692
restriction						1.280499907	
weight				1.57895924	1.454029808	2.1555081769999997	1.430947824
hurt			1.486500715	2.594004466	3.3373446089999996	3.1158831069999997	4.1437864069999994
self-injury			2.291688602	11.165497484000001	5.525313274	8.13117441	8.406818466
restricting				1.015045225		2.1768498419999998	1.1626451070000001
vampyres					1.329398682		
pro ana						1.4725748930000002	1.1328336940000001
vampirism					1.537117226	1.131108251	
ocd			2.97300143	3.9473981	2.367991403	3.4360080839999996	2.0569874969999997
alone			1.486500715	2.030090451	2.741884782	2.368924828	3.57736956
obsessive compulsive disorder			1.114875536	1.3533936340000001	1.329398682	1.429891562	1.1626451070000001
diet pills						1.3658665669999999	
knifes					1.246311264		1.0732108679999999
personality disorders				1.8045248459999998		1.323183237	
hiding			1.238750596	2.36843886	1.3570944880000002	1.515258223	2.2060445619999998
body image				1.9173076480000002	1.315550779	1.8353831999999999	1.639627715
mental disorders				1.240610831	1.260159167	2.006116521	1.6098163019999998
emptiness					1.426334003	1.152449916	1.401136411
sharp things				1.015045225	1.066288526	1.301841572	1.907930432
addictions				1.4661764369999999		1.195133246	
cuts			1.672313304	2.481221663	3.669694279	2.79575813	6.081528252000001
panic						1.301841572	1.252079346
hunger					1.218615458	2.027458186	1.0732108679999999
calories				1.4661764369999999	1.17707175	2.603683144	1.997364671
social anxiety				1.240610831		1.195133246	
mutilation			1.362625655		2.146424956	1.515258223	2.027176084
schizophrenia				1.240610831	1.4401819059999998	1.87806653	1.430947824
isolation				1.127828028	1.4678777109999999	1.6433082140000002	1.639627715
not eating						1.173791581	
abuse			1.238750596	3.7218324939999996	2.7834284910000004	3.2439330980000003	3.0407641260000005
stress				1.691742043	1.232463361	1.280499907	
prozac nation				2.142873254	1.370942391	1.899408195	1.818496193
razorblades			2.0439384830000003	1.9173076480000002	3.932804435	3.692108065	5.246808688
satanism					1.204767556		
the craft					1.149375944	1.04574159	
body modifications					1.024744817		
thinspiration			1.052938006		1.578660935	2.411608158	1.7588733669999999
chokers							
razors			3.840126848	7.782013397999999	10.26129608	9.04886601	12.043810852
self expression					1.163223847		1.3713249980000002
emily the strange							
fat					1.03859272	1.4725748930000002	
scissors					1.27400707		1.49057065
ginger snaps						1.216474911	1.222267933
scarification			1.424563185	1.8045248459999998	2.548014141	2.1768498419999998	1.937741845
ptsd			1.114875536	3.15791848	1.052440623	2.560999814	1.311702172
bipolar			1.486500715	5.300791735	3.185017676	4.865899647	3.994729342
help			1.052938006	1.9173076480000002	1.495573517	1.4512332280000002	2.2060445619999998
lies					1.4401819059999998	1.04574159	1.7588733669999999
black nailpolish							
bullet for my valentine						1.4512332280000002	
venting				1.4661764369999999	1.329398682	1.323183237	1.6992505409999998
mental illness			1.610375774	6.992533777999999	2.894211715	4.929924642	3.249444017
mental health			2.353626132	6.428619764	2.257208179	5.442124605	2.444535866
psychiatry				2.142873254	1.246311264	1.984774856	1.3713249980000002
recovery			1.796188364	6.090271355	1.8279231880000002	4.182966363	3.5475581469999997
kate moss					1.066288526		1.0732108679999999
self-expression							1.430947824
needles			1.548438245	1.691742043	3.240409288	2.347583163	3.0407641260000005
burning			1.920063424	4.73687772	5.276051021000001	4.716507991	6.170962491
crazy				1.240610831	1.024744817		1.311702172
scarling			1.300688125	1.240610831	1.786379479	1.771358204	1.937741845
